DonWalf,3750,1,200,250,1,1,299
Suwamik,3500,1,275,175,1,1,250
Fortune,3600,1,225,225,1,1,225
Jackson,3300,1,300,150,1,1,275
Kart Mario,1500,1,175,175,1,1,280
Goku,3000,1,275,175,1,1,200
Zelda,2800,1,199,220,1,1,260
Samus,3200,1,200,200,1,1,290
Flash,2700,1,300,150,1,1,300
Beelzebub,2500,1,275,175,1,1,199
Starman,2750,1,200,200,1,1,175
BoJack Horseman,3000,1,175,125,1,1,190
Darth Daddy,3500,1,250,200,1,1,195
Donald Drumpf,3750,1,250,200,1,1,180
Bill Nye the Science Guy,3000,1,200,200,1,1,150
Honey Boo Boo,2900,1,200,200,1,1,149
Gogiga Gagagigo,4000,1,100,300,1,1,80
